Tweet Content,Date,User,Source,Tweet ID,Tweet URL
#Pharmacies instituting anti-hoarding measures for possible #coronavirus treatments: https://t.co/9XYHWo0z2V | @Benefits_PRO,2020-04-19 23:59:59,HealthcareHwy,HubSpot,1252024177068048384,https://twitter.com/statuses/1252024177068048384
"Dems play ‘blame game’ while republicans try to ‘problem solve’

#coronavirus #politics",2020-04-19 23:59:52,wittroc63675401,Twitter for iPhone,1252024145841393666,https://twitter.com/statuses/1252024145841393666
"Watch We R Listening's 1st V~Log: ""COVID-19 and its Affects on the Youth: Validating feelings of anxiety""
 https://t.co/AqNk5VQte1

#coronavirus #coronavirusandyouth",2020-04-19 23:59:49,WeRListning,Twitter for Android,1252024132398649345,https://twitter.com/statuses/1252024132398649345
"WBAI 99.5FM. TODAY, Monday 4-20, 7PM EST.
Building Bridges: Saving Democracy from the Coronavirus & Trump  Poultry Industry is Killing Essential Workers  Foodservice Workers Rising-Up. Produced by Mimi Rosenberg & Ken Nash

#coronavirus
#COVID19 https://t.co/0W466nIYP6",2020-04-19 23:59:48,bbridgesradio,Twitter Web App,1252024129034817538,https://twitter.com/statuses/1252024129034817538
#Trump says he’d be willing to give #coronavirus aid to Iran https://t.co/kx3wl1ZXHa https://t.co/oK0Q4EDmDo (via@thehill),2020-04-19 23:59:46,Newzjunkie_,Tweetbot for iΟS,1252024120268804102,https://twitter.com/statuses/1252024120268804102
"Tokyo, in a State of Emergency, Yet Still Having Drinks at a Bar #covid19 #coronavirus https://t.co/G5T6zSt0Z2",2020-04-19 23:59:44,JapanTrends,Hootsuite Inc.,1252024111288762368,https://twitter.com/statuses/1252024111288762368
"@realDonaldTrump is off the rails yet again.....can’t be honest at all. Defensive, combative, and a liar. #coronavirus #LiarInChief https://t.co/xuXj5HXvUd",2020-04-19 23:59:44,mari_heff,Twitter for iPhone,1252024110823223298,https://twitter.com/statuses/1252024110823223298
I miss just going to DQ or Scoops to get ice cream. #coronavirus,2020-04-19 23:59:42,mjoshdavid,Twitter for Android,1252024105953607681,https://twitter.com/statuses/1252024105953607681
"If anyone wondered how Germans could have supported Hitler, look no further than the Trump cult members that will believe anything he says. If a Dem was POTUS, they’d be protesting that US hadn’t done enough shut down #coronavirus #covidUSA https://t.co/aj4tsFK6nC",2020-04-19 23:59:27,pollwatcher9,Twitter for iPhone,1252024038966231041,https://twitter.com/statuses/1252024038966231041
I know a lot of people are calling for the cable news channels to stop covering the daily Trump #coronavirus #PressBriefing. But maybe what we really need is for every network and cable channel to cover them so every American is forced to see how unhinged the president is.,2020-04-19 23:59:26,Klarevas,Twitter for iPhone,1252024038538522625,https://twitter.com/statuses/1252024038538522625
"#coronavirus deaths in Italy display huge, clustered quasi-geographical differences https://t.co/r3I1PuuOWi",2020-04-19 23:59:16,omnologos,Twitter Web App,1252023993323962373,https://twitter.com/statuses/1252023993323962373
At least we don’t have Monday blues anymore... every days the same 🤣🤣🤣#coronavirus #StayatHome,2020-04-19 23:59:15,moorsteveo,Twitter for iPhone,1252023989549096962,https://twitter.com/statuses/1252023989549096962
"Even under urgent warnings of his CDC, Intel Agencies & Advisors this failed Impeached president missed almost 3 months to stop the #Coronavirus allowing a fast spread and now cynically just wants to change facts and claim credit he doesn’t deserve and politicizes others work! https://t.co/uVb6EoLqmC",2020-04-19 23:59:15,GregorioMeraz1,Twitter for iPhone,1252023989309976577,https://twitter.com/statuses/1252023989309976577
"Watch: A virtual concert packed with A-listers – from The Rolling Stones to Taylor Swift to Billie Eilish – entertained fans around the world with a show celebrating health workers, as billions shelter at home due to #coronavirus.

#OneWorldTogetherAtHome

https://t.co/VYfrfND6ch https://t.co/yxbh2TuMV7",2020-04-19 23:59:09,AlArabiya_Eng,Sprinklr,1252023964366508034,https://twitter.com/statuses/1252023964366508034
CNN is  PATHETIC!#Coronavirus,2020-04-19 23:59:07,LitaIsumu,Twitter for Android,1252023955205939200,https://twitter.com/statuses/1252023955205939200
"A 190 million Indians go to bed hungry daily as #coronavirus epidemic continues to worsen it. What should the priorities be? 

#Hindutva : Eliminate Muslims 

Rest of India : Food & essentials 

🤷🏼‍♀️

https://t.co/rGr2xSJwW7",2020-04-19 23:59:03,SultanaWafa,Twitter for Android,1252023940026957825,https://twitter.com/statuses/1252023940026957825
“Ban on China”needs to be incorporated into a drinking game #whitehousePressconference #coronavirus,2020-04-19 23:59:02,Fitz40B,Twitter for iPhone,1252023938118451206,https://twitter.com/statuses/1252023938118451206
"Join us Friday, April 24 at 1:30 p.m. for a virtual panel discussion on #Coronavirus and how to #StaySafeAtHome Hear the latest information about coronavirus (COVID-19) and what you need to know to protect yourself and your family. We’ll also provide... https://t.co/nU4o5SwcGE",2020-04-19 23:59:02,Kbsiegmann,Dynamic Signal,1252023934876135425,https://twitter.com/statuses/1252023934876135425
#PopeFrancis warns #coronavirus recovery must not 'leave anyone behind' https://t.co/sZDHTSjloJ @MailOnline,2020-04-19 23:58:52,WashNewsLine,Twitter for Android,1252023894078377985,https://twitter.com/statuses/1252023894078377985
"Trump:

""When I close up our border with China...""

Ahhhh....we don't have a border with China.🤔

#Coronavirus",2020-04-19 23:58:52,NorsemanActual,Twitter for Android,1252023893855924225,https://twitter.com/statuses/1252023893855924225
"Yes, #travel will go back to normal after #coronavirus. Here's why — https://t.co/pTAsuPqK1m https://t.co/dqVoCnBpSh",2020-04-19 23:58:42,lydhblog,Twitter Web App,1252023852655243264,https://twitter.com/statuses/1252023852655243264
Don’t faint but I actually requested two non-fiction books from @MacmillanAus for review!!! I’ve heard great things about both and would like to step out of my reading comfort zone at the moment. And I’m keen to reflect on their messaging. #lessons #coronavirus https://t.co/szdpvklmtd,2020-04-19 23:58:38,debbishdotcom,Twitter for iPhone,1252023835030769664,https://twitter.com/statuses/1252023835030769664
"@WBAI 99.5FM. TODAY, Monday 4-20, 7PM EST.
Building Bridges: Saving Democracy from the Coronavirus & Trump  Poultry Industry is Killing Essential Workers  Foodservice Workers Rising-Up. Produced by Mimi Rosenberg & Ken Nash

#coronavirus
#COVID19 https://t.co/9YpYGnyV7F",2020-04-19 23:58:35,bbridgesradio,Twitter Web App,1252023823333044225,https://twitter.com/statuses/1252023823333044225
#coronavirus is it at all possible that everyone not spew doom and gloom constantly. yes school closed no prom no graduation but let’s not piss all over it or college/school in the fall. Can anyone say just one positive fucking thing. Fuck ppl,2020-04-19 23:58:35,notime4crapx,Twitter for iPhone,1252023821969825792,https://twitter.com/statuses/1252023821969825792
So according to the incompetent @realDonaldTrump  Italy got hit after the USA closed borders with China. What kind of idiotic idea is that? #Coronavirus,2020-04-19 23:58:32,ccargis,Twitter for iPhone,1252023810217447427,https://twitter.com/statuses/1252023810217447427
#Coronavirus NASTY AND RUDE....HE LOOKS SICK OLD LIKE A BEAT UP USED CARS SALESMAN,2020-04-19 23:58:27,Willymina3,Twitter for Android,1252023788725624833,https://twitter.com/statuses/1252023788725624833
"Trump knows good & gd well a q-tip won't work for #coronavirus testing.
Cheap a--hole
He wants to still ALL of our tax $$ https://t.co/eIPaLzb6Bk",2020-04-19 23:58:21,Lmadame1,Twitter Web App,1252023765208350720,https://twitter.com/statuses/1252023765208350720
"There is absolutely zero truth to this statement. 

And then he runs off like a little bitch.

Fuck you Mr. Trump
 #Coronavirus",2020-04-19 23:58:21,SkipperIsMyDog,Twitter for Android,1252023764147007489,https://twitter.com/statuses/1252023764147007489
"trumpies are complaining about cabin fever?
#CabinFever is NOTHING compared to #coronavirus fever!!!",2020-04-19 23:58:19,atalknut,Twitter Web App,1252023757125935108,https://twitter.com/statuses/1252023757125935108
"HOW MANY POTENTIALLY INFECTED PEOPLE WERE LET INTO THE COUNTRY BASED ON THIS FAILED CHECK? 
""I don't think airport temperature checks have any major effect on stopping or even slowing down transmission,"" of the #coronavirus said (at)mtosterholm 

https://t.co/YnMvwBGUGk 03
#FBR",2020-04-19 23:58:16,TomthunkitsMind,The Social Jukebox,1252023741590233093,https://twitter.com/statuses/1252023741590233093
Summary of @realDonaldTrump's #coronavirus rally today... https://t.co/DmOnQB9r19,2020-04-19 23:58:12,ebizmaster,Twitter Web App,1252023728302460928,https://twitter.com/statuses/1252023728302460928
"If your single now... Get used to it.. The world as we once knew it is gone!! #COVID19
#coronavirus 🙆‍♂️🙆‍♂️",2020-04-19 23:58:01,Patyeates,Twitter for Android,1252023678990155782,https://twitter.com/statuses/1252023678990155782
#Coronavirus lies... he did not close the country in January,2020-04-19 23:57:54,emmaownsmiheart,Twitter for Android,1252023652167663622,https://twitter.com/statuses/1252023652167663622
Who is “they” ? #Coronavirus,2020-04-19 23:57:53,ericcbarnes,Twitter for iPhone,1252023646052249602,https://twitter.com/statuses/1252023646052249602
Everyone should watch this video. #COVID19 #coronavirus https://t.co/KBfaFni2oJ,2020-04-19 23:57:53,DisruptionJoe,Twitter for iPhone,1252023645419048962,https://twitter.com/statuses/1252023645419048962
#Coronavirus #help the people! We need money! People have been waiting over a month for unemployment and businesses can’t even get loans! Help the people now!,2020-04-19 23:57:49,CitiGirl8,Twitter for iPhone,1252023629417775105,https://twitter.com/statuses/1252023629417775105
This just about sums it all up But sadly people are dying clear messages are what the uk wants #coronavirus @piersmorgan https://t.co/FCMumJvMms,2020-04-19 23:57:48,ianheszel,Twitter for iPad,1252023626855002113,https://twitter.com/statuses/1252023626855002113
"#Coronavirus update: Little Leaguers ""safe at home"" as they take part in online skills instruction in order to be prepared for whenever opening day comes. @ScottRapoport reports https://t.co/LYFuvBDRid",2020-04-19 23:57:46,CBSNewYork,SocialNewsDesk,1252023616235098112,https://twitter.com/statuses/1252023616235098112
Globalists and Globalism need to be eradicated from the United States. The #coronavirus exposed the problems caused by Globalization of our supply chain. #SayNoToGates,2020-04-19 23:57:45,vs4077,Twitter for iPhone,1252023613395361793,https://twitter.com/statuses/1252023613395361793
"💔

‘We hear you, Dad': A daughter stays on the phone for hours and hours as her father dies alone from #coronavirus https://t.co/3mRgCj0frY",2020-04-19 23:57:44,HoldsworthComm,Twitter for iPhone,1252023608874086401,https://twitter.com/statuses/1252023608874086401
Pres Trump Q&A: Italy locked down more than any other country. When blocked Chinese entrants many went to Italy instead. Ends briefing. #Trump #coronavirus @anthonymace,2020-04-19 23:57:43,MaceNewsMacro,Twitter Web App,1252023604302282760,https://twitter.com/statuses/1252023604302282760
Lots of young people at this afternoon's protest in #Olympia against Governor Inslee's stay-at-home order and closures. #coronavirus coverage for @reuterspictures. https://t.co/yX2J6JX90r,2020-04-19 23:57:36,lindseywasson,Twitter Web App,1252023575067783168,https://twitter.com/statuses/1252023575067783168
I’m over this bullshit. He just accused the Obama Administration of having a faulty test for the corona virus that didn’t exist. #Coronavirus https://t.co/Atj0eziKu7,2020-04-19 23:57:33,laringo,Twitter for iPhone,1252023560853315584,https://twitter.com/statuses/1252023560853315584
#Coronavirus TRUMP NEVER CLOSED THE BORDER!!!!! https://t.co/p4yOX4oyVB,2020-04-19 23:57:32,fitzy3863,Twitter for iPhone,1252023558663999494,https://twitter.com/statuses/1252023558663999494
"@joferneezy 

""Yeeaa"" Music Video 
https://t.co/rI7A7eQDHl

#Coronavirus❗We Outside❗",2020-04-19 23:57:31,Trea_Suave,Twitter for Android,1252023556394954752,https://twitter.com/statuses/1252023556394954752
@hughhewitt trump really does know more about the #BigMedia then they know about the #coronavirus... interesting,2020-04-19 23:57:24,AzKELLYcom,Twitter for Android,1252023525143019520,https://twitter.com/statuses/1252023525143019520
